VariableCode,RegionCode,YearCode,AggValue
pop,AUS,1990,17.09615300000000000
rgdpe,AUS,2000,613465.56250000000000000
pop,AUS,2000,19.16435100000000000
rgdpe,AUS,2010,845198.06250000000000000
pop,AUS,2010,22.26838400000000000
rgdpe,AUT,1950,33599.01171875000000000
pop,AUT,1950,6.93400592557793000
rgdpe,AUT,1960,59652.96093750000000000
pop,AUT,1960,7.04632520340545000
rgdpe,AUT,1970,92985.45312500000000000
pop,AUT,1970,7.46590800000000000
rgdpe,AUT,1980,125990.66406250000000000
pop,AUT,1980,7.54879800000000000
rgdpe,AUT,1990,173568.00000000000000000
pop,AUT,1990,7.67051300000000000
rgdpe,AUT,2000,265096.12500000000000000
pop,AUT,2000,8.00471200000000000
rgdpe,AUT,2010,309750.78125000000000000
pop,AUT,2010,8.39364400000000000
rgdpe,AZE,1990,46193.48437500000000000
pop,AZE,1990,7.21169200000000000
rgdpe,AZE,2000,19294.90820312500000000
pop,AZE,2000,8.11072300000000000
rgdpe,AZE,2010,79940.79687500000000000
pop,AZE,2010,9.18778300000000000
rgdpe,BDI,1960,1686.08874511719000000
pop,BDI,1960,2.80867887767103000
rgdpe,BDI,1970,2503.08349609375000000
pop,BDI,1970,3.51349900000000000
rgdpe,BDI,1980,3133.41479492188000000
pop,BDI,1980,4.12999700000000000
rgdpe,BDI,1990,4045.24877929688000000
pop,BDI,1990,5.60172000000000000
rgdpe,BDI,2000,3592.68164062500000000
pop,BDI,2000,6.37434700000000000
rgdpe,BDI,2010,4929.22412109375000000
pop,BDI,2010,8.38284900000000000
rgdpe,BEL,1950,62264.31640625000000000
pop,BEL,1950,8.62781255089875000
rgdpe,BEL,1960,85352.62500000000000000
pop,BEL,1960,9.10650237394426000
rgdpe,BEL,1970,137834.50000000000000000
pop,BEL,1970,9.62490800000000000
rgdpe,BEL,1980,200375.50000000000000000
pop,BEL,1980,9.84729700000000000
rgdpe,BEL,1990,230575.12500000000000000
pop,BEL,1990,9.94901900000000000
rgdpe,BEL,2000,323138.43750000000000000
pop,BEL,2000,10.17568400000000000
rgdpe,BEL,2010,380482.06250000000000000
pop,BEL,2010,10.71206600000000000
rgdpe,BEN,1960,2146.91162109375000000
pop,BEN,1960,2.23526808601848000
rgdpe,BEN,1970,3279.07739257813000000
pop,BEN,1970,2.84950800000000000
rgdpe,BEN,1980,4237.48730468750000000
pop,BEN,1980,3.61057800000000000
rgdpe,BEN,1990,4986.07910156250000000
pop,BEN,1990,4.77313700000000000
rgdpe,BEN,2000,8441.67675781250000000
pop,BEN,2000,6.51781000000000000
rgdpe,BEN,2010,13477.87792968750000000
pop,BEN,2010,8.84989200000000000
rgdpe,BFA,1960,3071.74975585938000000
pop,BFA,1960,5.32791468110971000
rgdpe,BFA,1970,3705.73095703125000000
pop,BFA,1970,5.80749200000000000
rgdpe,BFA,1980,5600.51806640625000000
pop,BFA,1980,7.21208800000000000
rgdpe,BFA,1990,7119.04248046875000000
pop,BFA,1990,9.32399600000000000
rgdpe,BFA,2000,10946.55078125000000000
pop,BFA,2000,12.29401200000000000
rgdpe,BFA,2010,20496.84570312500000000
pop,BFA,2010,16.46871400000000000
rgdpe,BGD,1960,71849.42187500000000000
pop,BGD,1960,54.22763450129320000
rgdpe,BGD,1970,91467.91406250000000000
pop,BGD,1970,66.88115800000000000
rgdpe,BGD,1980,87711.02343750000000000
pop,BGD,1980,80.62442300000000000
rgdpe,BGD,1990,130222.08593750000000000
pop,BGD,1990,105.25602600000000000
rgdpe,BGD,2000,163357.71875000000000000
pop,BGD,2000,129.59227500000000000
rgdpe,BGD,2010,253020.54687500000000000
pop,BGD,2010,148.69213100000000000
rgdpe,BGR,1970,25680.45312500000000000
pop,BGR,1970,8.48957200000000000
rgdpe,BGR,1980,50018.05078125000000000
pop,BGR,1980,8.86153600000000000
rgdpe,BGR,1990,67385.85937500000000000
pop,BGR,1990,8.81891500000000000
rgdpe,BGR,2000,58950.21484375000000000
pop,BGR,2000,8.00615800000000000
rgdpe,BGR,2010,94440.22656250000000000
pop,BGR,2010,7.49433200000000000
rgdpe,BHR,1970,2913.03881835938000000
pop,BHR,1970,0.21187800000000000
rgdpe,BHR,1980,6844.45751953125000000
pop,BHR,1980,0.35795700000000000
rgdpe,BHR,1990,7113.15771484375000000
pop,BHR,1990,0.49289100000000000
rgdpe,BHR,2000,11590.80078125000000000
pop,BHR,2000,0.63819300000000000
rgdpe,BHR,2010,34190.30468750000000000
pop,BHR,2010,1.26183500000000000
rgdpe,BHS,1970,2037.89013671875000000
pop,BHS,1970,0.16936700000000000
rgdpe,BHS,1980,3525.05932617188000000
pop,BHS,1980,0.21060000000000000
rgdpe,BHS,1990,4792.13134765625000000
pop,BHS,1990,0.25612800000000000
rgdpe,BHS,2000,7412.31494140625000000
